"id","id_name","Heading_date","Plant_height","Num_panicles","Num_effective_panicles","Yield","Grain_weight","Spikelet_length","Grain_length","Grain_width","Grain_thickness"
"251","W049","77","163.80000305","13","13","25.260000229","14.119999886","27.340000152588","8.220000267","2.0899999142","1.6699999570847"
"252","W050","121","174.80000305","14.199999809","14.199999809265137","32.38999939","28.38999939","26.569999694824","8.9200000763","3.4600000381","2.1600000858307"
"253","W051","55","107.40000153","16.799999237","16.799999237060547","41.349998474","24.739999771","25.389999389648","9.8699998856","2.7200000286","2.0199999809265"
"254","W052","103","98.599998474","12.399999619","11.800000190734863","22.370000839","30.649999619","19.739999771118","10.239999771","3.4300000668","2.1199998855591"
"255","W053","105","152.6000061","8.6000003815","8.600000381469727","23.209999084","26.719999313","25.809999465942","9.9399995804","3.2000000477","1.8700000047684"
"256","W054","106","190.19999695","12.399999619","12.199999809265137","39.470001221","21.920000076","23.030000686646","9.220000267","2.9800000191","1.9199999570847"
"257","W055","97","171.3999939","5.4000000954","5.400000095367432","23.260000229","26.760000229","26.020000457764","8.5","3.4000000954","2.0099999904633"
"258","W056","110","129","17.200000763","17.200000762939453","32.729999542","18.129999161","22.790000915527","6.5799999237","3.4400000572","2.1500000953674"
"259","W057","100","182.19999695","8","8","33.099998474","29.180000305","28.270000457764","9.3900003433","3.2799999714","1.8999999761581"
"260","W058","85","150.6000061","19.399999619","19.399999618530273","54.369998932","23.280000687","22.290000915527","7.3499999046","3.2699999809","2.039999961853"
"261","W059","90","115.80000305","16.200000763","16.200000762939453","28.649999619","23.549999237","21.569999694824","7.5799999237","3.5099999905","2.0999999046326"
"262","W060","72","119.40000153","11","10.399999618530273","23.059999466","26.409999847","24.909999847412","7.5900001526","3.4700000286","2.2300000190735"
"263","W061","81","121.80000305","9","9","29.270000458","41.240001678","20.729999542236","9.4099998474","4.3800001144","2.4500000476837"
"264","W062","124","153.3999939","14","13.800000190734863","41.029998779","25.700000763","30.450000762939","8.720000267","3.1400001049","2.0499999523163"
"265","W063","85","114.19999695","15.199999809","13.600000381469727","25.25","34.529998779","21.280000686646","10.369999886","3.6400001049","2.1199998855591"
"266","W064","51","106.19999695","22.600000381","22","13.130000114","22.25","16.950000762939","7.7899999619","3.4200000763","2.0099999904633"
"267","W065","92","149.3999939","12.600000381","12.600000381469727","35.810001373","27.670000076","24.329999923706","9.6599998474","3.2400000095","2.0299999713898"
"268","W066","95","102.19999695","16.799999237","16.799999237060547","28.079999924","19.719999313","22.209999084473","8.7100000381","2.7400000095","1.8899999856949"
"269","W067","102","152.6000061","8.3999996185","8.399999618530273","33.790000916","29.049999237","29.030000686646","10.18999958","2.9900000095","2.0299999713898"
"270","W068","90","139.80000305","15.600000381","15.399999618530273","26.340000153","20.989999771","22.290000915527","7.9899997711","3.5299999714","1.9099999666214"
"271","W069","102","146.3999939","13","13","34.340000153","17.260000229","26.979999542236","9.0699996948","2.1900000572","1.6200000047684"
"272","W070","99","160.3999939","17.200000763","17.200000762939453","56.930000305","22.030000687","30.379999160767","9.7100000381","2.7799999714","1.8300000429153"
"273","W071","53","104.59999847","21.600000381","21.200000762939453","32.240001678","23.040000916","23.129999160767","7.7600002289","3.2899999619","1.960000038147"
"274","W072","114","154","11.399999619","11.199999809265137","30.61000061","24.340000153","24.690000534058","9.0699996948","2.6900000572","1.9099999666214"
"275","W073","83","98.800003052","20","20","31","23.459999084","24.60000038147","9.6999998093","2.3399999142","1.8999999761581"
"276","W074","122","162.19999695","14.199999809","14.199999809265137","36.259998322","25.680000305","24.870000839233","8.029999733","3.2100000381","2.2300000190735"
"277","W075","95","186.19999695","19.600000381","19.399999618530273","49.479999542","22.510000229","23.510000228882","8","3.0499999523","2"
"278","W076","94","155","11.399999619","11.399999618530273","35.299999237","22.040000916","23.129999160767","7.4000000954","3.3099999428","2.0599999427795"
"279","W077","110","182.3999939","14.800000191","14.800000190734863","36.330001831","26.920000076","25.620000839233","10.140000343","2.7300000191","1.960000038147"
"280","W078","121","96.800003052","15.75","15","26.950000763","24.690000534","20.930000305176","8.2700004578","3.0999999046","2.0699999332428"
"281","W079","89","147.6000061","13","13","32.290000916","27.010000229","25.719999313354","9.3999996185","2.9200000763","2.0199999809265"
"282","W080","85","141.3999939","26.399999619","26.399999618530273","54.169998169","24.559999466","25.989999771118","8.4600000381","3.1099998951","1.960000038147"
"283","W081","87","130.19999695","12.600000381","12.600000381469727","19.739999771","27.129999161","28.85000038147","9.1700000763","3.0299999714","2.0099999904633"
"284","W082","77","125","12.399999619","12.399999618530273","25.409999847","29.649999619","24.319999694824","8.470000267","3.7100000381","2.1800000667572"
"285","W083","94","116.40000153","11.399999619","11.399999618530273","32.770000458","27.100000381","24.010000228882","9.3599996567","2.7699999809","2.0199999809265"
"286","W084","95","114.40000153","13.399999619","13.399999618530273","27.969999313","23.559999466","25.219999313354","8.470000267","3.0899999142","1.9800000190735"
"287","W085","89","118.59999847","12.600000381","12.600000381469727","39.590000153","25.280000687","23.030000686646","7.6799998283","3.5","1.9500000476837"
"288","W086","91","103.40000153","11.399999619","11.399999618530273","33.729999542","25.069999695","23.60000038147","9.529999733","2.8099999428","1.8899999856949"
"289","W087","65","77.199996948","15.399999619","15","28.510000229","23.059999466","19.219999313354","8.3299999237","2.8499999046","1.9800000190735"
"290","W088","67","70.599998474","18","14.399999618530273","19.229999542","26.61000061","18.430000305176","7.5300002098","3.3800001144","2.2300000190735"
"291","W089","85","136.3999939","27.600000381","27.600000381469727","43.13999939","20.819999695","24.030000686646","8.5600004196","2.5","1.8300000429153"
"292","W090","100","137.3999939","47.200000763","45.79999923706055","52.770000458","21.709999084","19.059999465942","7.8099999428","3.0199999809","2.0499999523163"
"293","W091","103","148.19999695","15.600000381","15.399999618530273","33.090000153","17.309999466","23.059999465942","7.3099999428","3.1199998856","1.9099999666214"
"294","W092","103","144.80000305","18","18","39.430000305","22","24.489999771118","7.75","3.1700000763","1.9500000476837"
"295","W093","84","133","19.799999237","19","27.88999939","26.86000061","24.090000152588","8.8999996185","2.6700000763","1.7200000286102"
"296","W094","89","141.80000305","14","14","29.829999924","30.319999695","23.469999313354","8.7700004578","3.5399999619","2.0999999046326"
"297","W095","92","165.80000305","13.600000381","13.600000381469727","43.349998474","23.209999084","26.979999542236","7.3800001144","3.0599999428","2.1199998855591"
"298","W096","89","165.19999695","16.799999237","16.600000381469727","38.38999939","26.13999939","24.030000686646","8.0900001526","3.5799999237","2.0899999141693"
"299","W097","88","137","23.399999619","23","27.600000381","25.299999237","15.949999809265","7.5100002289","3.6300001144","2.0699999332428"
"300","W098","95","158.80000305","42.200000763","40.599998474121094","52.36000061","22.219999313","20.760000228882","7.9200000763","2.9300000668","2.0599999427795"
"301","W099","105","149","19.799999237","19.600000381469727","39.029998779","21.600000381","26.110000610352","7.8200001717","2.9000000954","1.8500000238419"
"302","W100","102","177.19999695","31.399999619","31.399999618530273","41.25","18.200000763","24.64999961853","7.5","2.9000000954","1.9400000572205"
"303","W101","89","149.80000305","16.600000381","16.600000381469727","43.36000061","27.489999771","27.25","8.5","3.3399999142","2.1600000858307"
"304","W102","95","182.6000061","4.5999999046","4.400000095367432","12.670000076","25.11000061","25.889999389648","9.4300003052","3.4800000191","1.9099999666214"
"305","W103","94","111.40000153","28","28","26.819999695","21.5","20.110000610352","8.0500001907","3.2400000095","1.9800000190735"
"306","W104","91","145.3999939","12.399999619","12.199999809265137","24.129999161","22.409999847","22.420000076294","7.5599999428","3.0899999142","1.9199999570847"
"307","W105","97","156.6000061","19.399999619","19.200000762939453","39.439998627","25.760000229","26.059999465942","9.029999733","3.2000000477","2.039999961853"
"308","W106","107","169.3999939","19","19","29.989999771","24.440000534","22.329999923706","8.4200000763","3.0299999714","1.8999999761581"
"309","W107","120","163.19999695","17.399999619","17.200000762939453","27.579999924","28.590000153","24.489999771118","9.1499996185","3.3399999142","2.1900000572205"
"310","W108","91","161.19999695","28","28","39.540000916","19.440000534","19.969999313354","7.3200001717","2.75","1.9400000572205"
"311","W109","48","99.400001526","16.600000381","15","10.06000042","22.159999847","18.030000686646","7.75","3.5099999905","2.039999961853"
"312","W110","128","154.3999939","9.1999998093","6.400000095367432","12.989999771","21.299999237","24.370000839233","8.4799995422","3.1300001144","2"
"313","W111","114","203.6000061","13","13","29.520000458","23.620000839","26.469999313354","9.0900001526","2.9000000954","1.9800000190735"
"314","W112","114","167.19999695","14","14","43.849998474","24.440000534","26.139999389648","8.220000267","3.1199998856","2.0299999713898"
"315","W113","110","141","9.8000001907","9","31.409999847","19.88999939","25.270000457764","8.779999733","2.9000000954","1.7999999523163"
"316","W114","122","181.3999939","-9","-9","28.549999237","-9","-9","9.0699996948","2.6700000763","1.8999999761581"
"317","W115","116","153.3999939","22.799999237","22.799999237060547","40.409999847","24.379999161","24.219999313354","8.3900003433","3.1099998951","2.0299999713898"
"318","W116","99","175.3999939","8","8","29.11000061","30.950000763","32.099998474121","9.1999998093","3.6700000763","2.0999999046326"
"319","W117","69","98.599998474","14.399999619","13.800000190734863","16.209999084","29.309999466","20.89999961853","7.6199998856","3.7699999809","2.3800001144409"
"320","W118","103","84.199996948","6.5999999046","6.599999904632568","27.030000687","37.299999237","22.819999694824","10.369999886","2.6900000572","1.960000038147"
"321","W119","95","95.400001526","9.6000003815","9.399999618530273","21.239999771","24.350000381","20.010000228882","9.1999998093","2.6400001049","1.9099999666214"
"322","W120","90","109.59999847","9.1999998093","8.800000190734863","19.559999466","31.649999619","19.860000610352","8.1199998856","3.9000000954","2.2400000095367"
"323","W121","93","177.6000061","10.399999619","10.399999618530273","41.529998779","26.13999939","30.219999313354","8.3299999237","3.1300001144","2.039999961853"
"324","W122","98","169.80000305","12.600000381","12.600000381469727","25.770000458","19.829999924","25.559999465942","8.8900003433","3.1199998856","1.7799999713898"
"325","W123","99","140.80000305","10.75","10.75","36.970001221","27.040000916","26.10000038147","9.1800003052","3.3299999237","2"
"326","W124","77","134","16.600000381","16.600000381469727","29.850000381","17.510000229","21.799999237061","7.6599998474","2.7999999523","1.8200000524521"
"327","W125","88","152","16.600000381","16.600000381469727","25.540000916","25.479999542","27.030000686646","8.0500001907","3.0199999809","2.0199999809265"
"328","W126","89","157.6000061","25","25","59.900001526","21.190000534","24.559999465942","8.2100000381","2.9600000381","1.8999999761581"
"329","W127","112","142.6000061","8.3999996185","8.399999618530273","29.530000687","25.559999466","25.690000534058","8.6400003433","3.1800000668","2.0999999046326"
"330","W128","111","149.80000305","12.399999619","12.399999618530273","46.259998322","24.260000229","24.709999084473","8.5","3.2300000191","1.9400000572205"
"331","W129","94","151.19999695","25.799999237","25","62.080001831","22.870000839","29.139999389648","9.4600000381","2.5","1.8700000047684"
"332","W130","69","92.599998474","18.600000381","18.399999618530273","22.979999542","31.049999237","18.790000915527","9.279999733","3.6199998856","2.1700000762939"
"333","W131","95","161","17.200000763","16.799999237060547","37.529998779","14.470000267","30.719999313354","7.1799998283","2.7899999619","1.6100000143051"
"334","W132","89","156","20.600000381","20.600000381469727","47.569999695","20.680000305","22.319999694824","7.4299998283","3.0699999332","1.9099999666214"
